Время найдено	№ блока	трудность	Область	Усилие	Вознаграждение за блок	Вознаграждение	Статус
09.02.2021, 03:33:37	7703281	340512365357	eu-de	12%	1.971258 CFX	1.953517 CFX ()	
09.02.2021, 03:33:21	7703262	340512365357	eu-de	106%	1.975858 CFX	1.958076 CFX ()	
09.02.2021, 03:29:10	7702959	340512365357	eu-de	197%	1.920063 CFX	1.902783 CFX ()	
09.02.2021, 03:22:43	7702493	340512365357	eu-de	47%	1.884858 CFX	1.867895 CFX ()	
09.02.2021, 03:21:00	7702367	340512365357	eu-de	35%	1.935260 CFX	1.917843 CFX ()	
09.02.2021, 03:19:57	7702288	340512365357	eu-de	97%	1.987263 CFX	1.969378 CFX ()	
09.02.2021, 03:17:05	7702089	340512365357	eu-de	164%	1.948859 CFX	1.931319 CFX ()	
09.02.2021, 03:11:08	7701651	340512365357	eu-de	241%	1.942266 CFX	1.924786 CFX ()	
09.02.2021, 03:05:03	7701198	340512365357	eu-de	35%	1.983861 CFX	1.966007 CFX ()	
09.02.2021, 03:03:54	7701110	340512365357	eu-de	5.9%	1.955058 CFX	1.937463 CFX ()	
09.02.2021, 03:03:46	7701103	340512365357	eu-de	35%	1.955058 CFX	1.937463 CFX ()	
09.02.2021, 03:02:08	7700983	340512365357	eu-de	23%	1.975858 CFX	1.958075 CFX ()	
09.02.2021, 03:01:47	7700956	340512365357	eu-de	126%	1.983858 CFX	1.966003 CFX ()	
09.02.2021, 02:59:05	7700753	340512365357	eu-de	73%	1.987264 CFX	1.969379 CFX ()	
09.02.2021, 02:57:32	7700635	340512365357	eu-de	226%	1.983858 CFX	1.966003 CFX ()	
09.02.2021, 02:51:58	7700257	340512365357	eu-de	59%	1.983860 CFX	1.966005 CFX ()	
09.02.2021, 02:50:36	7700195	340512365357	eu-de	329%	1.998260 CFX	1.980276 CFX ()	
09.02.2021, 02:38:37	7699715	600255716418	eu-de	5%	1.983859 CFX	1.966005 CFX ()	
09.02.2021, 02:38:29	7699709	600255716418	eu-de	75%	1.992858 CFX	1.974922 CFX ()	
09.02.2021, 02:32:15	7699497	600255716418	eu-de	108%	1.995058 CFX	1.977103 CFX ()	
09.02.2021, 02:20:53	7699080	600255716418	eu-de	3.3%	1.996858 CFX	1.978886 CFX ()	
09.02.2021, 02:20:51	7699079	600255716418	eu-de	1.7%	1.998258 CFX	1.980274 CFX ()	
09.02.2021, 02:20:37	7699070	600255716418	eu-de	78%	1.990258 CFX	1.972346 CFX ()	
09.02.2021, 02:16:20	7698915	600255716418	eu-de	22%	1.987260 CFX	1.969375 CFX ()	
09.02.2021, 02:13:46	7698824	600255716418	eu-de	63%	1.995059 CFX	1.977104 CFX ()	
09.02.2021, 02:07:37	7698604	600255716418	eu-de	48%	1.995058 CFX	1.977103 CFX ()	
09.02.2021, 02:01:22	7698377	600255716418	eu-de	120%	1.990259 CFX	1.972346 CFX ()	
09.02.2021, 01:46:22	7697856	600255716418	eu-de	20%	1.996860 CFX	1.978888 CFX ()	
09.02.2021, 01:42:55	7697729	600255716418	eu-de	65%	1.980058 CFX	1.962238 CFX ()	
09.02.2021, 01:32:52	7697378	600255716418	eu-de	63%	1.998260 CFX	1.980276 CFX ()	
09.02.2021, 01:29:42	7697272	600255716418	us-ca	193%	1.987260 CFX	1.969374 CFX ()	
09.02.2021, 01:20:49	7696979	600255716418	us-ca	57%	1.990260 CFX	1.972347 CFX ()	
09.02.2021, 01:19:06	7696917	600255716418	eu-de	255%	1.990259 CFX	1.972347 CFX ()	
09.02.2021, 01:08:43	7696547	600255716418	us-ca	23%	1.992860 CFX	1.974924 CFX ()	
09.02.2021, 01:07:44	7696510	600255716418	us-ca	25%	1.995059 CFX	1.977104 CFX ()	
09.02.2021, 01:07:01	7696484	600255716418	us-ca	28%	1.990259 CFX	1.972347 CFX ()	
09.02.2021, 01:05:36	7696425	600255716418	us-ca	327%	1.995061 CFX	1.977106 CFX ()	
09.02.2021, 00:51:57	7695923	600255716418	us-ca	92%	1.980058 CFX	1.962237 CFX ()	
09.02.2021, 00:49:16	7695831	600255716418	eu-de	3.3%	1.987258 CFX	1.969373 CFX ()	
09.02.2021, 00:49:07	7695825	600255716418	eu-de	63%	1.992858 CFX	1.974922 CFX ()	
09.02.2021, 00:45:24	7695705	600255716418	eu-de	242%	1.996860 CFX	1.978888 CFX ()	
09.02.2021, 00:38:25	7695466	600255716418	us-ca	53%	1.987259 CFX	1.969374 CFX ()	
09.02.2021, 00:36:40	7695403	600255716418	us-ca	48%	1.990258 CFX	1.972346 CFX ()	
09.02.2021, 00:34:00	7695303	600255716418	eu-de	105%	1.992860 CFX	1.974924 CFX ()	
09.02.2021, 00:30:18	7695147	600255716418	eu-de	12%	1.980058 CFX	1.962238 CFX ()	
09.02.2021, 00:29:58	7695127	600255716418	us-ca	13%	1.983858 CFX	1.966003 CFX ()	
09.02.2021, 00:29:30	7695104	600255716418	eu-de	13%	1.990258 CFX	1.972346 CFX ()	
09.02.2021, 00:29:16	7695089	600255716418	us-ca	192%	1.966262 CFX	1.948566 CFX ()	
09.02.2021, 00:24:28	7694777	400170477612	us-ca	32%	1.960858 CFX	1.943210 CFX ()	
09.02.2021, 00:23:49	7694726	400170477612	eu-de	25%	1.983862 CFX	1.966007 CFX ()	
09.02.2021, 00:23:19	7694693	400170477612	eu-de	77%	1.992858 CFX	1.974922 CFX ()	
09.02.2021, 00:21:42	7694593	400170477612	us-ca	297%	1.966260 CFX	1.948564 CFX ()	
09.02.2021, 00:16:46	7694238	400170477612	eu-de	22%	1.971258 CFX	1.953517 CFX ()	
09.02.2021, 00:16:20	7694209	400170477612	eu-de	20%	1.983858 CFX	1.966004 CFX ()	
09.02.2021, 00:15:48	7694175	400170477612	eu-de	290%	1.992861 CFX	1.974925 CFX ()	
09.02.2021, 00:10:39	7693805	400170477612	eu-de	27%	1.987258 CFX	1.969373 CFX ()	
09.02.2021, 00:10:19	7693776	400170477612	us-ca	155%	1.966261 CFX	1.948565 CFX ()	
09.02.2021, 00:07:32	7693583	400170477612	eu-de	22%	1.983858 CFX	1.966003 CFX ()	
09.02.2021, 00:07:08	7693556	400170477612	eu-de	20%	1.975858 CFX	1.958075 CFX ()	
09.02.2021, 00:06:52	7693538	400170477612	us-ca	102%	1.955058 CFX	1.937462 CFX ()	
09.02.2021, 00:04:48	7693380	400170477612	us-ca	472%	1.975860 CFX	1.958077 CFX ()	
08.02.2021, 23:55:54	7692756	400170477612	us-ca	12%	1.955060 CFX	1.937464 CFX ()	
08.02.2021, 23:55:52	7692754	400170477612	eu-de	347%	1.955058 CFX	1.937463 CFX ()	
08.02.2021, 23:49:26	7692286	400170477612	eu-de	42%	1.927858 CFX	1.910507 CFX ()	
08.02.2021, 23:48:45	7692242	400170477612	eu-de	205%	1.920059 CFX	1.902779 CFX ()	
08.02.2021, 23:43:58	7691884	400170477612	us-ca	22%	1.960858 CFX	1.943210 CFX ()	
08.02.2021, 23:43:44	7691870	400170477612	us-ca	205%	1.955058 CFX	1.937463 CFX ()	
08.02.2021, 23:40:28	7691628	400170477612	us-ca	62%	1.960858 CFX	1.943210 CFX ()	
08.02.2021, 23:39:35	7691570	400170477612	eu-de	2.5%	1.996858 CFX	1.978886 CFX ()	
08.02.2021, 23:39:31	7691564	400170477612	eu-de	102%	1.987258 CFX	1.969373 CFX ()	
08.02.2021, 23:37:54	7691457	400170477612	us-ca	15%	1.948857 CFX	1.931318 CFX ()	
08.02.2021, 23:37:32	7691433	400170477612	eu-de	230%	1.955058 CFX	1.937462 CFX ()	
08.02.2021, 23:33:56	7691191	400170477612	us-ca	12%	1.942258 CFX	1.924777 CFX ()	
08.02.2021, 23:33:46	7691175	400170477612	eu-de	165%	1.980058 CFX	1.962237 CFX ()	
